name,numDownloadsMin,fileSize,price,aggregateRating,ratingCount
FSP Power App,500,12M,0,3.96774196624756,31
FSP Autofahrer-App,500,"1,3M",0,3.81818175315857,11
Art-picnic FSP,500,"2,7M",0,4.72222232818604,18
Tennis F.S.P,1,"4,5M",0,0,0
Super Piano FREE HD,100000,"4,1M",0,3.98252415657043,1545
DMC-FZ1000 Tutorial,100,"8,2M",0,1,2
Beach Buggy Racing,1000000,75M,0,4.24581623077393,72359
ABC School,1000,391k,0,4.10526323318481,19
What’s New In Logic Pro X,5000,106M,0,4.40740728378296,54
Music Hero Rock,100000,34M,0,3.63243889808655,4957
Deutsch News Alerts,100,"1,7M",0,5,5
Classic Tri Peaks HD,100,263k,0.77,4.47826099395752,23
Clean Electric Guitar Plugin,1000000,"1,4M",0,3.48022532463074,20053
Andhraprabha,5,"2,3M",0,0,0
Kannada Cinema News,100,"2,0M",0,4.75,4
Hausnotruf,10,37k,9.9,0,0
Anweshanam (Malayalam),10,"1,7M",0,5,2
Java News,1,"1,7M",0,5,1
Battery Floater,0,"4,1M",1.26,0,0
7 Days Survival: Forest,500,60M,0.63,3.5,32
4 Spieler Reaktor,50000,"1,7M",1.99,4.72814655303955,3332
Gangstar Rio: City of Saints,100000,,5.99,3.94654417037964,36011
Modern Combat 3: Fallen Nation,100000,"1,3G",4.49,3.37000513076782,31633
Deus Ex: The Fall,50000,,5.99,3.92597579956055,13374
Real Steel,100000,22M,2.29,3.99847602844238,4593
Fuhrer in LA,1000,117M,0.99,3.93665146827698,221
Mixels Mission,10000,,3.04,4.05598115921021,3001
Entwined™ Challenge,100,267M,0.77,4.02857160568237,70
Clear Theme 4 GO Launcher EX,1000,"7,0M",1.42,4.68115949630737,69
Fenerbahçe Mar?lar?,100000,374k,0,4.28994846343994,776
Fruit Link Go 3,5000,"5,4M",0,4.10454559326172,220
Aquarium Live Wallpaper,5000,567k,0,3.4745762348175,59
Golf Score Buddy,100,"2,3M",0,5,2
Team Amber,500,"7,3M",0,4.78947353363037,19
Face Changer Video,1000000,,0,4.16394996643066,41775
Alle Zeitungen der Türkei,1000000,"2,2M",0,3.91843891143799,8558
Epic Sax Guy,100000,"1,2M",0,4.26619529724121,849
Gravity Guy FREE,5000000,18M,0,4.11922359466553,119959
Mad Gravity Guy,1000,13M,0,3.55384612083435,65
Winx Club: Winx Sirenix Power,1000000,49M,0,3.98436975479126,44593
